cust_id,name,ssn,bday,agt_id,card_type,card_number
1,Eunice Canavan,523-58-3731,11/30/1990,,americanexpress,374288372333285
2,Laural Owbrick,147-52-7787,5/14/1952,,visa,4017958330896
3,Rudiger Bevington,536-28-5792,6/4/1950,,visa,4017953644237995
4,Zorina Tumulty,333-46-8030,8/21/1969,,mastercard,5100146417993572
5,Damien Bartram,404-45-8963,3/20/1974,,americanexpress,348266742619685
6,Raf Walshaw,203-04-7004,2/19/1980,,americanexpress,374283806953782
7,Pammie Broxis,377-35-2409,12/16/1977,,visa,4697129842777002
8,Ninette Gristock,555-86-1189,9/7/1965,,mastercard,5010125042732562
9,Scot Bartocci,471-75-2821,12/1/2000,,americanexpress,374283761319698
10,Margret Pietasch,246-02-0305,8/13/1966,,mastercard,5100175318380910
11,Rickert Cloke,652-58-5451,2/9/1972,,mastercard,5002357639614503
12,Finlay Gounod,684-44-1359,11/14/1970,,visa,4493466513992007
13,Sheelah Duesberry,615-27-7940,11/21/1998,,mastercard,5010127298704519
14,Danya Hatliff,819-08-2890,8/6/1981,,visa,4118488875407122
15,Lorraine Golston,683-22-7234,10/6/1984,,mastercard,5118663959236525
16,Bradford McIlmorie,893-20-6526,2/29/1952,,visa,4041598578778645
17,Jamesy Blakebrough,413-87-7781,6/9/1974,,mastercard,5010126417099751
18,Lian Voyce,379-77-8917,4/16/1964,,visa,4131584507459946
19,Darell Scarman,104-18-6075,1/22/1987,,visa,4017950305144
20,Giulia Blaiklock,839-78-4439,9/24/1979,,americanexpress,374283548941921
21,Carena Dyett,289-54-0789,4/13/1970,,visa,4017959108171679
22,Pace Rydings,770-25-7628,6/2/1982,,mastercard,5002353827258146
23,Adeline Clewarth,546-74-7632,5/5/1958,,visa,4017954667374
24,Robinia Neame,420-45-8323,10/14/1950,,visa,4617914617426167
25,Phedra Jovis,482-21-3014,11/4/1982,,visa,4041379703382
26,Sergei Lorenzini,360-57-6157,10/13/1965,,mastercard,5010128290958343
27,Weylin Smiz,361-36-4634,7/10/1958,,americanexpress,344818378292650
28,Orel Lansbury,509-61-9683,10/6/1992,,mastercard,5100173456817983
29,Malissa Budd,329-20-1263,11/24/1988,,americanexpress,374283602176950
30,Raychel Ropkins,472-52-0120,7/27/1986,,mastercard,5524457730275193
31,Curran Gallgher,210-43-0885,11/12/1965,,americanexpress,374622415037943
32,Bobette MacDonogh,149-41-5345,6/26/1982,,mastercard,5100170445506560
33,Crawford Grinley,665-26-9791,10/10/1958,,visa,4043009654332
34,Sonny Slatter,310-51-3409,12/17/1956,,mastercard,5287354456229222
35,Clovis Janisson,556-11-7473,12/23/1977,,americanexpress,372301475606861
36,Halli Sedgemond,844-25-9537,8/31/1962,,mastercard,5007663816013830
37,Roley Remon,529-46-0851,12/5/1957,,mastercard,5007668046439176
38,Kat Copnar,177-48-1268,1/27/1967,,americanexpress,372848849118981
39,Cosme Edson,448-23-2193,9/18/1985,,visa,4628835622738857
40,Oona Rodolphe,227-35-7065,10/14/1967,,mastercard,5106919481414657
41,Inger Hay,528-04-6188,1/15/2000,,americanexpress,371620543926394
42,Daniella Tinan,537-20-6993,10/9/1987,,visa,4041595184315655
43,Kanya Easen,476-60-2284,5/18/2000,,visa,4041598939551
44,Atalanta McKyrrelly,685-59-8231,1/14/1970,,visa,4041378833826
45,Rici Willoughby,720-44-4221,9/27/1980,,visa,4017957503212940
46,Bab Johnes,220-48-7518,6/1/1998,,mastercard,5007662960141967
47,Aaron Bernardinelli,601-40-5667,8/9/2000,,mastercard,5515203278559494
48,Vivia Gerant,894-34-1764,4/1/1995,,mastercard,5108756354814391
49,Rawley Plowman,892-76-8564,9/7/1979,,mastercard,5126055749781169
50,Sherilyn Driver,651-68-1849,8/27/1982,,americanexpress,374283628638199
51,Aimil Dmtrovic,490-76-0965,12/30/1993,,americanexpress,340163782954916
52,Holly Wagner,281-39-9285,1/20/1988,,visa,4041374211118
53,Henrie McIndrew,622-27-5590,7/4/1956,,americanexpress,374622331160571
54,Shea Pellitt,133-37-6269,11/1/1951,,mastercard,5007661833090195
55,Goldi Falco,546-73-8090,4/3/1953,,visa,4968755462155210
56,Bambie Caberas,707-19-6260,4/10/1951,,visa,4017955553474
57,Robinson Dahlback,285-05-5693,3/14/1980,,mastercard,5002352757130556
58,Happy Youde,526-05-5053,12/13/1959,,mastercard,5297221872679991
59,Jeffy Grayling,788-58-5034,2/7/1994,,americanexpress,374782031280796
60,Leoline Matteuzzi,423-98-6585,12/10/1998,,mastercard,5100139223969431
61,Audi Carsey,157-64-7306,5/11/1994,,americanexpress,372301605755471
62,Gerome Barrim,567-81-5136,8/14/2001,,mastercard,5406385358552192
63,Pate McGorman,407-97-2754,6/16/1999,,visa,4008707484928
64,Germaine McMurrugh,644-98-3196,6/28/1973,,visa,4041592451918
65,Ahmad Brychan,302-54-5164,4/12/1994,,mastercard,5255050050136619
66,Mel Attoe,748-45-8269,6/9/1969,,visa,4535645644148353
67,Frederich Exon,369-88-3622,10/2/1997,,visa,4041377076005
68,Edik Dobkin,150-57-0277,7/5/1985,,visa,4041591191911
69,Putnem MacLaverty,729-16-7950,8/3/1996,,mastercard,5002356281036882
70,Marita Bisgrove,388-52-4049,4/10/1972,,americanexpress,374622388099003
71,Robb Adamou,142-93-5372,9/5/1985,,americanexpress,376992764050021
72,Jorey Pumfrett,786-20-7060,10/1/1975,,americanexpress,374283966505018
73,Stillmann Stonnell,429-22-7182,9/6/1967,,visa,4673094763795714
74,Savina Woodwing,870-10-7684,11/4/1952,,mastercard,5469593916713149
75,Halsy Maltman,124-28-3848,3/25/1962,,mastercard,5167842210311687
76,Rubia McIlriach,862-31-2752,4/15/1950,,mastercard,5007663783900456
77,Ryun Nickoles,418-29-9835,11/1/1974,,visa,4041596326083367
78,Olenolin Stoney,893-85-0720,3/9/1971,,mastercard,5100145924298152
79,Gui Schutze,643-91-4314,1/2/1985,,mastercard,5333162831629741
80,Dilan Pidgeley,851-18-1773,5/23/1952,,visa,4041376512510196
81,Pierrette Averay,502-68-5411,12/30/1985,,mastercard,5010125283771386
82,Nev Baden,543-67-7082,2/23/1983,,visa,4017959182311183
83,Shanon Crebott,106-84-4070,7/30/1963,,mastercard,5007661175973974
84,Kissee Pruvost,595-15-2177,2/19/1995,,visa,4511766609127881
85,Kerianne Denyukin,180-85-1761,7/21/1952,,americanexpress,376856607855849
86,Lavinie Reside,273-28-3465,1/13/1980,,americanexpress,374288556215209
87,Weston Radbourne,584-76-8805,12/15/1966,,americanexpress,344569542618102
88,Kaitlyn Glamart,234-83-7612,10/30/1952,,americanexpress,374288846588969
89,Hunter Munkley,338-13-5913,12/7/1987,,visa,4041375931391
90,Rochester Ollivier,647-53-6965,5/24/1966,,mastercard,5002359836789633
91,Toinette Purdy,707-85-2101,6/23/1970,,mastercard,5002355640297060
92,Kristan Falconer,243-43-3331,11/10/1992,,visa,4768177864939
93,Brenna Elnough,550-09-1150,6/14/1986,,mastercard,5107506260539462
94,Vergil Bosch,822-51-4594,8/17/1975,,visa,4041596530790
95,Gillie Hillam,354-46-4300,9/9/1992,,mastercard,5210436465752971
96,Jacquelin Dockery,561-59-2015,4/23/1977,,americanexpress,374288922084933
97,Kristo Cunliffe,154-99-8325,6/4/1970,,visa,4041594945489321
98,Dominik McGauhy,895-19-3196,8/5/1993,,visa,4041599497203
99,Margaret Hawkin,422-02-7884,11/8/1960,,visa,4041376765047953
100,Otes Kimblin,671-22-2608,4/24/1997,,mastercard,5007662182623164
101,Allina Chorley,179-48-8558,7/15/1952,,visa,4030854309040679
102,Ainslee Frazier,724-14-8211,4/28/1973,,mastercard,5108753709643195
103,Kora Grisley,111-01-9220,6/22/1987,,visa,4041595337007
104,Jamal Merrigan,670-29-2207,6/13/1993,,americanexpress,374622822888565
105,Issiah Nowland,296-65-4330,12/22/1986,,visa,4234712932384
106,Zeke Speere,215-67-1645,11/9/1993,,americanexpress,374283562770578
107,Trescha Laville,272-65-8171,5/24/1965,,mastercard,5597768180348088
108,Eimile Hall-Gough,341-56-0848,10/1/2000,,mastercard,5010128814352429
109,Jacquelin Musico,648-02-5737,5/13/1992,,visa,4797267930863984
110,Britteny Laffin,119-05-1592,10/13/1991,,visa,4041370001861822
111,Beatrice Kermitt,460-22-4803,10/30/1975,,mastercard,5108759004231354
112,Tabby Duckers,858-33-6609,10/12/1951,,americanexpress,374283663141448
113,Carola Klimpt,384-93-9188,8/4/1983,,visa,4041373860929714
114,Broddy Hriinchenko,706-75-6879,6/13/1982,,visa,4041591401479838
115,Francois Crosham,257-29-0629,2/13/1991,,visa,4116987142932
116,Cecelia Valance,766-81-4136,10/29/1992,,visa,4041379687403
117,Cherey Luckin,462-18-1415,8/13/1958,,visa,4041597893015
118,Ursa Tatterton,779-97-1209,3/27/1954,,mastercard,5457448191853108
119,Rea Gyrgorcewicx,546-41-1142,3/5/1959,,americanexpress,374283384957320
120,Karine Heugh,127-22-2972,12/26/1984,,americanexpress,376023800595629
121,Randall Doud,606-74-7753,6/18/1991,,visa,4041379755713
122,Lucia Pallis,521-38-7024,11/11/1960,,visa,4041376259470620
123,Aviva Boothe,792-79-5777,11/15/1959,,americanexpress,348474510297359
124,Cammy Buffham,766-85-4955,11/21/1970,,mastercard,5491503795289295
